Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
Curlies blue house ," 144/c, St Micheal, Vaddo",ANJUNA,Vagator,GOA,Goa,403509,15.570580323805226,73.74440538650853
Grand Continent Hotel,"Venpurusham village road, Five Rathas Road",MAHABALIPURAM,Chennai,CHENGALPATTU,Tamil Nadu,603104,12.605873230958187,80.18840752883634
Royal Wood Premier,660 2nd Main Road A K Colony,DOMLUR,Bangalore Urban,BENGALURU,Karnataka,560071,12.958488150670963,77.64053735586556
Le Grace Residency,"No.7/41-3, Laws Ghat Road",SRINIVASAPURAM,Kodaikanal,DINDIGUL,Tamil Nadu,603112,12.787840627237268,80.24950481349245
" Space Rock Resort","Santhi Nagar, Quarry Valavu,",KALPETTA,Wayanad,WAYANAD,Kerala,673577,11.59322599299142,76.09646173806485
Amrith Palace,"No 59/12C,Salavan Kuppam",PATTIPULAM,Chennai,CHENNAI,Tamil Nadu,603104,12.659375920933119,80.20674568231966
Hotel Paramos Meeds,"No. 1/1, 1st Main Rd, 1st Cross Road, Madiwala",MADIWALA,Bangalore,BENGALURU,Karnataka,560068,12.925336,77.617210
Isha Inn Luxury Rooms,12th Ln ,ARUNDELPET,Guntur,GUNTUR,Andhra Pradesh,522002,16.305296833250395,80.43761114285108
Meridian Villa,"Meridian Villa, East coast road",NEMELLI,Chennai,CHENNAI,Tamil Nadu,603104,12.71571454699548,80.22369554232819
Hummingbird By Brown Tree Ressorts,"Kilhatty Street,Kanuvatty Road",KONAKARAI,Kotagiri,NILGIRIS (OOTY),Tamil Nadu,643217,11.409150395449496,76.89303190687403
JVH Hotel,Jyothi Nagar,MYSORE ROAD,Bangalore,BENGALURU,Karnataka,560039,12.952975105379172,77.53093980241552
Empire Anand Villa,Empire Anand Villa Samudra,KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.783513833460924,80.2528854996688
Skyry Residency,"33, Rajiv Gandhi St, Moovendhar Nagar, Balaji Avenue",IYYAPPANTHANGAL,Chennai,CHENNAI,Tamil Nadu,600056,13.043867822253116,80.13748244232764
Ishaa Sea Villa 2BHK,Sea La Vie,KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.787680505842864,80.25381335726708
Chill Vill Beach House,"Olive sands, Plot 32B-33A, ECR, Old Vandipalayam",UTHANDI,Chennai,CHENNAI,Tamil Nadu,600119,12.85959699547958,80.246982706618
Ivory Villa,Villa Rd,KOVALAM,Chennai,CHENNAI,Tamil Nadu,603112,12.753204316043492,80.23888113556136
Grand Continent Hotel,"H.NO.5-3/9P/15P, Sai Tulasi Enclave-1 Vattinagula",GACHIBOWLI,Hyderabad,RANGAREDDY,Telangana,500032,17.427022854936347,78.32962698650904
Le Grace SS Colony,"Plot No, 2, Ram Nagar Rd, 5th Street",KALAVASAL,Madurai,Madurai,Tamil Nadu,625016,9.919790311575346,78.09419989548356
RK Residency,"RK Residency, Plot 1",ERANHIPAALAM,Kozhikode,KOZHIKODE,Kerala,673006,11.278660911789018,75.78454552052538
Krishna Exotica 4bhk,"Block No. A4, Dona Terezinha hotel",GAVRAWADA,Calangute,GOA,Goa,403516,15.535161869092052,73.7645882441809
